Campus,Faculty,Experience,Information_sys,Inform_disp,Inform_pos,Inform_secure,inform_bene,Inform_sasti,KUR3,KUR3_userfriendly_tab,KUR3_userfriendly_sys,KUR3_correct,KUR,KUR_userfriendly_tab,KUR_userfriendly_sys,KUR_correct,KURX,KURX_userfriendly_tab,KURX_userfriendly_sys,KURX_correct,KUForest,KUForest_userfriendly_sys,KUForest_correct,staff_sasti,staff_servicemind,staff_contact,staff_problemsolve,staff_correct
Sriracha,Engineering,16-20 ปี,1,4.0,4.0,4.0,4.0,4.0,0,0.0,0.0,0.0,1,4.0,4.0,4.0,0,4.0,4.0,4.0,1,4.0,4.0,4.0,4.0,4.0,4.0,4.0
Bangkhen,KAPI,<= 5 ปี,1,4.0,4.0,4.0,4.0,4.0,1,4.0,3.0,3.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,3.0,3.0,3.0,3.0,3.0,2.0,2.0
Bangkhen,Science,16-20 ปี,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bangkhen,Agriculture,11-15 ปี,1,4.0,4.0,3.0,5.0,4.0,1,5.0,5.0,4.0,1,4.0,4.0,4.0,1,4.0,3.0,4.0,0,0.0,0.0,4.0,4.0,4.0,4.0,4.0
Bangkhen,Humanities,16-20 ปี,1,4.0,4.0,4.0,4.0,4.0,1,4.0,3.0,4.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0
KamphaengSaen,LiberalArts_and_Science,6-10 ปี,1,4.0,4.0,4.0,3.0,4.0,1,4.0,4.0,4.0,1,4.0,4.0,4.0,1,4.0,4.0,4.0,1,3.0,4.0,4.0,4.0,4.0,4.0,4.0
Bangkhen,Fisheries,11-15 ปี,1,4.0,4.0,5.0,5.0,5.0,1,5.0,4.0,5.0,1,5.0,4.0,5.0,0,0.0,0.0,0.0,1,4.0,5.0,4.0,4.0,4.0,4.0,4.0
SakonNakon,Science_and_Engineering,16-20 ปี,1,5.0,5.0,5.0,5.0,5.0,1,5.0,5.0,5.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Bangkhen,Engineering,6-10 ปี,1,4.0,4.0,4.0,4.0,4.0,1,4.0,4.0,4.0,1,4.0,4.0,4.0,0,0.0,0.0,0.0,0,0.0,0.0,4.0,4.0,4.0,4.0,4.0
Bangkhen,IFRPD,16-20 ปี,1,5.0,5.0,4.0,4.0,4.0,1,4.0,3.0,3.0,1,5.0,5.0,5.0,1,4.0,4.0,5.0,1,4.0,4.0,4.0,3.0,5.0,4.0,4.0
Bangkhen,Agriculture,21-25 ปี,1,4.0,4.0,4.0,4.0,4.0,1,4.0,4.0,4.0,1,4.0,4.0,4.0,0,0.0,0.0,0.0,0,0.0,0.0,4.0,3.0,3.0,4.0,3.0
KamphaengSaen,Agriculture,16-20 ปี,1,5.0,5.0,5.0,5.0,5.0,1,3.0,3.0,3.0,1,5.0,5.0,5.0,1,5.0,5.0,5.0,1,5.0,5.0,5.0,5.0,4.0,4.0,4.0
