Campus,Faculty,Experience,KUR3_suggest,KUR_suggest,KURX_suggest,Inform_suggest
Sriracha,Engineering,16-20 ปี,0,0,0,0
Bangkhen,KAPI,<= 5 ปี,การอนุมัติในการขอแก้ไขล่าช้า,0,0,0
Bangkhen,Science,16-20 ปี,0,0,0,0
Bangkhen,Agriculture,11-15 ปี,0,0,0,0
Bangkhen,Humanities,16-20 ปี,การแก้ไขข้อมูล การอัพเดตข้อมูลบางครั้งล่าช้า,0,0,-
KamphaengSaen,LiberalArts_and_Science,6-10 ปี,0,0,0,0
Bangkhen,Fisheries,11-15 ปี,-,0,0,0
SakonNakon,Science_and_Engineering,16-20 ปี,-,0,0,-
Bangkhen,Engineering,6-10 ปี,0,0,0,0
Bangkhen,IFRPD,16-20 ปี,หัวข้อรายชื่อโครงการที่ได้รับทุนอุดหนุนวิจัย มก. (ในฐานะหัวหน้าโครงการ/ผู้ร่วมโครงการ) มีรายชื่อโครงการที่ซ้ำกัน และบางโครงการไม่ได้ระบุงบประมาณของโครงการ,0,0,0
Bangkhen,Agriculture,21-25 ปี,0,0,0,0
KamphaengSaen,Agriculture,16-20 ปี,ระบบยังไม่ถึงขั้น friendly use และการคลิกกรอกข้อมูลบางทีก็อัพโหลดนาน และระบบหลุดบ่อย,0,0,0
Bangkhen,Engineering,> 25 ปีขึ้นไป,บางครั้งตัวอักษรแสดงซ้ำซ้อนกันบนจอแสดงผล,0,0,0
Bangkhen,Engineering,<= 5 ปี,0,0,0,0
